Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-25,137.27999877929688,21600.904296875,1757.699951171875,115.69379425048828,270.95489501953125,137.4199981689453,21789.63671875,1761.800048828125,115.76322014148404,271.12006518473976,134.27999877929688,21362.44140625,1755.0,113.17461431501371,266.74747418276837,135.25999450683594,21395.458984375,1761.5999755859375,113.3035459506188,269.4779119694947,37496300.0,31028679593.0,172.0,16956800.0,16583400.0
2022-08-26,130.75,20260.01953125,1736.0999755859375,109.4355239868164,260.4995422363281,137.8300018310547,21804.908203125,1755.0,114.17634801578959,272.40270697945806,130.5,20199.482421875,1736.0999755859375,109.28675961123744,260.3926709090645,136.5500030517578,21596.0859375,1754.0,113.77962535824993,271.1783719738918,53322700.0,42326789564.0,202.0,37245700.0,27549300.0
2022-08-27,,20041.73828125,,,,,20340.775390625,,,,,19890.5234375,,,,,20262.48046875,,,,,30116729776.0,,,
2022-08-28,,19616.814453125,,,,,20139.0546875,,,,,19616.814453125,,,,,20041.03515625,,,,,24366810591.0,,,
2022-08-29,129.7899932861328,20297.994140625,1736.5999755859375,108.5230484008789,257.72052001953125,131.9499969482422,20357.462890625,1741.199951171875,110.04050530416411,259.82906392811554,128.77000427246094,19600.78515625,1732.0999755859375,107.90813557656172,256.3795873901303,129.89999389648438,19615.154296875,1732.4000244140625,109.08837563086466,258.3229611362696,48101600.0,32637854078.0,950.0,21191200.0,20338500.0
2022-08-30,128.72999572753906,19796.80859375,1723.199951171875,108.0469970703125,255.5245361328125,132.07000732421875,20542.64453125,1739.0,109.59420698279374,259.48900611595445,126.8499984741211,19617.640625,1720.699951171875,106.91634250859858,253.27994149506821,131.25,20298.611328125,1736.4000244140625,109.26691024996742,259.11978995833886,49203000.0,34483360283.0,385.0,27513300.0,22767100.0
2022-08-31,126.7699966430664,20049.763671875,1712.800048828125,107.33289337158203,254.06698608398438,130.58999633789062,20420.990234375,1720.9000244140625,109.94133184491908,259.54728502076154,126.73999786376953,19799.58203125,1708.5,107.24362719051874,253.93093567831625,129.4499969482422,19799.58203125,1718.300048828125,109.74297432432968,257.8760119467737,53648700.0,33225232872.0,2133.0,28627000.0,24791800.0
2022-09-01,127.81999969482422,20127.140625,1696.5999755859375,108.84044647216797,253.0272674560547,128.02000427246094,20198.390625,1707.9000244140625,109.544625612437,253.50341421016233,123.66000366210938,19653.96875,1693.9000244140625,106.47995833013141,248.17855922552292,126.0,20050.498046875,1707.9000244140625,107.39241516821053,251.54058765801105,56636100.0,30182031010.0,683.0,28360900.0,23263400.0
2022-09-02,127.51000213623047,19969.771484375,1709.800048828125,106.9659194946289,248.81015014648438,131.3800048828125,20401.568359375,1715.699951171875,109.83222868726963,257.2443854879001,126.38999938964844,19814.765625,1703.0999755859375,106.38075953474187,247.26517150345208,129.5,20126.072265625,1703.4000244140625,109.6834567691589,254.2904786042123,57429800.0,29123998928.0,182.0,24160700.0,22855400.0
2022-09-03,,19832.087890625,,,,,20037.009765625,,,,,19698.35546875,,,,,19969.71875,,,,,23613051457.0,,,
